INSTNM,CITY,STABBR,LOCALE,CIP11ASSOC,CIP11BACHL
Brandeis University,Waltham,MA,13.0,0.0,1.0
Bunker Hill Community College,Boston,MA,11.0,1.0,0.0
Cape Cod Community College,WestBarnstable,MA,13.0,1.0,0.0
Clark University,Worcester,MA,12.0,0.0,1.0
Fisher College,Boston,MA,11.0,2.0,2.0
Framingham State University,Framingham,MA,13.0,0.0,2.0
Harvard University,Cambridge,MA,12.0,1.0,1.0
University of Massachusetts-Boston,Boston,MA,11.0,0.0,2.0
Massachusetts Institute of Technology,Cambridge,MA,12.0,0.0,1.0
Northeastern University,Boston,MA,11.0,1.0,2.0
Quinsigamond Community College,Worcester,MA,12.0,2.0,0.0
Roxbury Community College,RoxburyCrossing,MA,11.0,1.0,0.0
Springfield College,Springfield,MA,12.0,0.0,1.0
Springfield Technical Community College,Springfield,MA,12.0,1.0,0.0
Suffolk University,Boston,MA,11.0,1.0,2.0
Wentworth Institute of Technology,Boston,MA,11.0,1.0,1.0
Western New England University,Springfield,MA,12.0,1.0,2.0
Worcester Polytechnic Institute,Worcester,MA,12.0,0.0,1.0
Worcester State University,Worcester,MA,12.0,0.0,1.0
Aquinas College,GrandRapids,MI,12.0,1.0,1.0
Calvin College,GrandRapids,MI,12.0,0.0,1.0
Mott Community College,Flint,MI,12.0,1.0,0.0
Concordia University-Ann Arbor,AnnArbor,MI,12.0,1.0,1.0
University of Detroit Mercy,Detroit,MI,11.0,0.0,1.0
Kettering University,Flint,MI,12.0,0.0,1.0
Grand Rapids Community College,GrandRapids,MI,12.0,1.0,0.0
Henry Ford Community College,Dearborn,MI,13.0,2.0,0.0
Hope College,Holland,MI,13.0,0.0,1.0
ITT Technical Institute-Wyoming,Wyoming,MI,13.0,1.0,1.0
Kalamazoo College,Kalamazoo,MI,13.0,0.0,1.0
Kellogg Community College,BattleCreek,MI,13.0,1.0,0.0
Lansing Community College,Lansing,MI,12.0,2.0,0.0
Lawrence Technological University,Southfield,MI,13.0,1.0,2.0
Macomb Community College,Warren,MI,12.0,1.0,0.0
Madonna University,Livonia,MI,13.0,1.0,2.0
Marygrove College,Detroit,MI,11.0,1.0,1.0
University of Michigan-Ann Arbor,AnnArbor,MI,12.0,0.0,2.0
Michigan State University,EastLansing,MI,13.0,0.0,2.0
University of Michigan-Dearborn,Dearborn,MI,13.0,0.0,2.0
University of Michigan-Flint,Flint,MI,12.0,0.0,2.0
Baker College of Muskegon,Muskegon,MI,13.0,2.0,2.0
Muskegon Community College,Muskegon,MI,13.0,1.0,0.0
Northwood University-Michigan,Midland,MI,13.0,2.0,2.0
Schoolcraft College,Livonia,MI,13.0,2.0,0.0
Walsh College of Accountancy and Business Administration,Troy,MI,13.0,0.0,2.0
Wayne County Community College District,Detroit,MI,11.0,1.0,0.0
Wayne State University,Detroit,MI,11.0,0.0,2.0
Western Michigan University,Kalamazoo,MI,13.0,0.0,1.0
Academy College,Minneapolis,MN,13.0,1.0,2.0
Augsburg College,Minneapolis,MN,11.0,0.0,2.0
Lake Superior College,Duluth,MN,13.0,2.0,0.0
The Art Institutes International-Minnesota,Minneapolis,MN,11.0,1.0,1.0
Macalester College,SaintPaul,MN,11.0,0.0,1.0
South Central College,NorthMankato,MN,13.0,2.0,0.0
Minnesota State University-Mankato,Mankato,MN,13.0,1.0,1.0
Metropolitan State University,SaintPaul,MN,11.0,0.0,2.0
University of Minnesota-Twin Cities,Minneapolis,MN,11.0,0.0,2.0
Minneapolis Community and Technical College,Minneapolis,MN,11.0,2.0,0.0
University of Minnesota-Duluth,Duluth,MN,13.0,0.0,1.0
Normandale Community College,Bloomington,MN,13.0,2.0,0.0
Rochester Community and Technical College,Rochester,MN,12.0,2.0,0.0
St Cloud Technical and Community College,SaintCloud,MN,13.0,2.0,0.0
Saint Cloud State University,SaintCloud,MN,13.0,1.0,2.0
The College of Saint Scholastica,Duluth,MN,13.0,0.0,2.0
University of St Thomas,SaintPaul,MN,11.0,0.0,1.0
Rasmussen College-Minnesota,StCloud,MN,13.0,2.0,2.0
Saint Paul College,SaintPaul,MN,11.0,2.0,0.0
Dunwoody College of Technology,Minneapolis,MN,11.0,1.0,1.0
Jackson State University,Jackson,MS,12.0,0.0,2.0
Millsaps College,Jackson,MS,12.0,0.0,1.0
University of Southern Mississippi,Hattiesburg,MS,13.0,0.0,2.0
Tougaloo College,Tougaloo,MS,12.0,1.0,1.0
Avila University,KansasCity,MO,11.0,0.0,2.0
Columbia College,Columbia,MO,12.0,2.0,2.0
Drury University,Springfield,MO,12.0,2.0,2.0
Pinnacle Career Institute-South Kansas City,KansasCity,MO,11.0,2.0,0.0
Evangel University,Springfield,MO,12.0,1.0,2.0
Ozarks Technical Community College,Springfield,MO,12.0,2.0,0.0
Harris-Stowe State University,SaintLouis,MO,11.0,0.0,1.0
Lincoln University,JeffersonCity,MO,13.0,1.0,2.0
Lindenwood University,SaintCharles,MO,13.0,0.0,2.0
Metropolitan Community College-Kansas City,KansasCity,MO,11.0,2.0,0.0
Westwood College-O'Hare Airport,Chicago,IL,11.0,1.0,1.0
Missouri Southern State University,Joplin,MO,13.0,2.0,2.0
Missouri Tech,SaintCharles,MO,13.0,1.0,1.0
Missouri Western State University,SaintJoseph,MO,13.0,1.0,1.0
University of Missouri-Columbia,Columbia,MO,12.0,0.0,2.0
University of Missouri-Kansas City,KansasCity,MO,11.0,0.0,2.0
Everest College-Springfield,Springfield,MO,12.0,2.0,2.0
Saint Louis University,SaintLouis,MO,11.0,0.0,2.0
Saint Louis Community College,SaintLouis,MO,11.0,2.0,0.0
Southeast Missouri State University,CapeGirardeau,MO,13.0,1.0,2.0
Missouri State University-Springfield,Springfield,MO,12.0,0.0,2.0
Montana State University-Billings,Billings,MT,12.0,2.0,2.0
Great Falls College Montana State University,GreatFalls,MT,13.0,2.0,0.0
University of Great Falls,GreatFalls,MT,13.0,2.0,2.0
The University of Montana,Missoula,MT,13.0,2.0,1.0
Rocky Mountain College,Billings,MT,12.0,1.0,1.0
Central Community College,GrandIsland,NE,13.0,1.0,0.0
Creighton University,Omaha,NE,11.0,1.0,1.0
Grace University,Omaha,NE,11.0,1.0,1.0
Kaplan University-Lincoln Campus,Lincoln,NE,11.0,2.0,2.0
Metropolitan Community College Area,Omaha,NE,11.0,2.0,0.0
University of Nebraska at Omaha,Omaha,NE,11.0,0.0,2.0
Kaplan University-Omaha Campus,Omaha,NE,11.0,2.0,2.0
Nebraska Wesleyan University,Lincoln,NE,11.0,0.0,1.0
University of Nebraska-Lincoln,Lincoln,NE,11.0,1.0,2.0
Southeast Community College Area,Lincoln,NE,11.0,2.0,0.0
Union College,Lincoln,NE,11.0,1.0,1.0
Vatterott College-Spring Valley,Omaha,NE,11.0,1.0,0.0
Career College of Northern Nevada,Sparks,NV,12.0,1.0,0.0
College of Southern Nevada,LasVegas,NV,11.0,2.0,1.0
The Art Institute of Las Vegas,Henderson,NV,11.0,1.0,1.0
University of Nevada-Las Vegas,LasVegas,NV,12.0,0.0,2.0
University of Nevada-Reno,Reno,NV,12.0,0.0,1.0
Morrison University,Reno,NV,12.0,1.0,1.0
Truckee Meadows Community College,Reno,NV,12.0,2.0,0.0
Western Nevada College,CarsonCity,NV,13.0,2.0,1.0
Daniel Webster College,Nashua,NH,13.0,1.0,1.0
Southern New Hampshire University,Manchester,NH,12.0,2.0,2.0
University of New Hampshire at Manchester,Manchester,NH,12.0,1.0,1.0
Manchester Community College,Manchester,NH,12.0,2.0,0.0
Nashua Community College,Nashua,NH,13.0,1.0,0.0
Rivier University,Nashua,NH,13.0,1.0,2.0
Essex County College,Newark,NJ,11.0,1.0,0.0
Hudson County Community College,JerseyCity,NJ,11.0,1.0,0.0
New Jersey City University,JerseyCity,NJ,11.0,0.0,1.0
New Jersey Institute of Technology,Newark,NJ,11.0,0.0,1.0
Rutgers University-Camden,Camden,NJ,13.0,0.0,1.0
Rutgers University-New Brunswick,NewBrunswick,NJ,13.0,0.0,1.0
Rutgers University-Newark,Newark,NJ,11.0,0.0,1.0
Saint Peter's University,JerseyCity,NJ,11.0,1.0,2.0
Central New Mexico Community College,Albuquerque,NM,11.0,2.0,0.0
University of New Mexico-Main Campus,Albuquerque,NM,11.0,0.0,2.0
San Juan College,Farmington,NM,13.0,2.0,0.0
Santa Fe University of Art and Design,SantaFe,NM,13.0,0.0,1.0
Vaughn College of Aeronautics and Technology,Flushing,NY,11.0,2.0,2.0
Globe Institute of Technology,NewYork,NY,11.0,1.0,1.0
Bramson ORT College,ForestHills,NY,11.0,2.0,0.0
Bryant & Stratton College-Syracuse,Syracuse,NY,12.0,1.0,0.0
Bryant & Stratton College-Buffalo,Buffalo,NY,11.0,1.0,1.0
Canisius College,Buffalo,NY,11.0,1.0,1.0
Columbia University in the City of New York,NewYork,NY,11.0,0.0,1.0
Cornell University,Ithaca,NY,13.0,0.0,1.0
CUNY Bernard M Baruch College,NewYork,NY,11.0,0.0,1.0
CUNY Borough of Manhattan Community College,NewYork,NY,11.0,2.0,0.0
CUNY Bronx Community College,Bronx,NY,11.0,1.0,0.0
CUNY Brooklyn College,Brooklyn,NY,11.0,0.0,1.0
College of Staten Island CUNY,StatenIsland,NY,11.0,1.0,1.0
CUNY City College,NewYork,NY,11.0,0.0,1.0
CUNY Graduate School and University Center,NewYork,NY,11.0,0.0,2.0
CUNY Hostos Community College,Bronx,NY,11.0,2.0,0.0
CUNY Hunter College,NewYork,NY,11.0,0.0,1.0
CUNY John Jay College of Criminal Justice,NewYork,NY,11.0,1.0,1.0
CUNY Kingsborough Community College,Brooklyn,NY,11.0,1.0,0.0
CUNY LaGuardia Community College,LongIslandCity,NY,11.0,1.0,0.0
CUNY Lehman College,Bronx,NY,11.0,0.0,1.0
CUNY Medgar Evers College,Brooklyn,NY,11.0,1.0,1.0
CUNY New York City College of Technology,Brooklyn,NY,11.0,1.0,1.0
CUNY Queens College,Flushing,NY,11.0,0.0,1.0
CUNY Queensborough Community College,Bayside,NY,11.0,1.0,0.0
CUNY York College,Jamaica,NY,11.0,0.0,1.0
D'Youville College,Buffalo,NY,11.0,0.0,2.0
Erie Community College,Buffalo,NY,11.0,2.0,0.0
Fordham University,Bronx,NY,11.0,0.0,1.0
Hudson Valley Community College,Troy,NY,13.0,2.0,0.0
Jefferson Community College,Watertown,NY,13.0,2.0,0.0
Le Moyne College,Syracuse,NY,12.0,0.0,1.0
LIU Brooklyn,Brooklyn,NY,11.0,1.0,1.0
Long Island Business Institute,Flushing,NY,11.0,1.0,0.0
Manhattan College,Riverdale,NY,11.0,0.0,1.0
Medaille College,Buffalo,NY,11.0,1.0,2.0
Mildred Elley School-Albany Campus,Albany,NY,13.0,1.0,0.0
Mohawk Valley Community College,Utica,NY,13.0,1.0,0.0
Monroe College,Bronx,NY,11.0,2.0,2.0
New York University,NewYork,NY,11.0,1.0,2.0
Pace University-New York,NewYork,NY,11.0,2.0,2.0
Polytechnic Institute of New York University,Brooklyn,NY,11.0,0.0,1.0
Rensselaer Polytechnic Institute,Troy,NY,13.0,0.0,1.0
University of Rochester,Rochester,NY,12.0,0.0,1.0
The Sage Colleges,Troy,NY,13.0,2.0,1.0
St Francis College,BrooklynHeights,NY,11.0,1.0,1.0
The College of Saint Rose,Albany,NY,13.0,0.0,1.0
Schenectady County Community College,Schenectady,NY,13.0,1.0,0.0
Saint Joseph's College-New York,Brooklyn,NY,11.0,0.0,2.0
St John's University-New York,Queens,NY,11.0,2.0,2.0
SUNY at Albany,Albany,NY,13.0,0.0,1.0
Buffalo State SUNY,Buffalo,NY,11.0,0.0,1.0
Syracuse University,Syracuse,NY,12.0,1.0,2.0
Touro College,NewYork,NY,11.0,1.0,1.0
Trocaire College,Buffalo,NY,11.0,2.0,2.0
Excelsior College,Albany,NY,13.0,2.0,2.0
Union College,Schenectady,NY,13.0,0.0,1.0
Utica College,Utica,NY,13.0,0.0,2.0
Utica School of Commerce,Utica,NY,13.0,1.0,0.0
School of Visual Arts,NewYork,NY,11.0,0.0,1.0
Wagner College,StatenIsland,NY,11.0,0.0,1.0
The College of Westchester,WhitePlains,NY,13.0,2.0,2.0
Wood Tobe-Coburn School,NewYork,NY,11.0,1.0,0.0
Yeshiva University,NewYork,NY,11.0,1.0,1.0
The Art Institute of Charlotte,Charlotte,NC,11.0,1.0,1.0
Asheville-Buncombe Technical Community College,Asheville,NC,13.0,2.0,0.0
Cape Fear Community College,Wilmington,NC,12.0,2.0,0.0
Catawba Valley Community College,Hickory,NC,13.0,2.0,0.0
Central Piedmont Community College,Charlotte,NC,11.0,2.0,0.0
Coastal Carolina Community College,Jacksonville,NC,13.0,2.0,0.0
Craven Community College,NewBern,NC,13.0,2.0,0.0
Duke University,Durham,NC,12.0,0.0,1.0
Durham Technical Community College,Durham,NC,12.0,1.0,0.0
East Carolina University,Greenville,NC,13.0,0.0,2.0
Fayetteville Technical Community College,Fayetteville,NC,12.0,2.0,0.0
Fayetteville State University,Fayetteville,NC,12.0,0.0,2.0
Forsyth Technical Community College,WinstonSalem,NC,12.0,2.0,0.0
Guilford College,Greensboro,NC,11.0,0.0,1.0
High Point University,HighPoint,NC,12.0,0.0,1.0
Johnson C Smith University,Charlotte,NC,11.0,0.0,1.0
Lenoir-Rhyne University,Hickory,NC,13.0,0.0,1.0
Methodist University,Fayetteville,NC,12.0,1.0,1.0
Miller-Motte College-Wilmington,Wilmington,NC,12.0,2.0,2.0
North Carolina A & T State University,Greensboro,NC,11.0,0.0,2.0
University of North Carolina at Asheville,Asheville,NC,13.0,0.0,1.0
University of North Carolina at Chapel Hill,ChapelHill,NC,13.0,0.0,2.0
University of North Carolina at Charlotte,Charlotte,NC,11.0,0.0,2.0
University of North Carolina at Greensboro,Greensboro,NC,11.0,0.0,2.0
North Carolina Central University,Durham,NC,12.0,0.0,2.0
North Carolina State University at Raleigh,Raleigh,NC,11.0,1.0,2.0
North Carolina Wesleyan College,RockyMount,NC,13.0,0.0,1.0
University of North Carolina Wilmington,Wilmington,NC,12.0,0.0,2.0
Queens University of Charlotte,Charlotte,NC,11.0,1.0,1.0
Saint Augustine's University,Raleigh,NC,11.0,0.0,1.0
Shaw University,Raleigh,NC,11.0,1.0,1.0
Wake Forest University,WinstonSalem,NC,12.0,0.0,1.0
Wayne Community College,Goldsboro,NC,13.0,2.0,0.0
Western Piedmont Community College,Morganton,NC,13.0,2.0,0.0
Winston-Salem State University,Winston-Salem,NC,12.0,0.0,2.0
Rasmussen College-North Dakota,Fargo,ND,12.0,2.0,2.0
Bismarck State College,Bismarck,ND,13.0,2.0,2.0
University of North Dakota,GrandForks,ND,13.0,0.0,2.0
North Dakota State University-Main Campus,Fargo,ND,12.0,0.0,2.0
University of Akron Main Campus,Akron,OH,12.0,1.0,2.0
Antonelli College-Cincinnati,Cincinnati,OH,11.0,2.0,0.0
Case Western Reserve University,Cleveland,OH,11.0,0.0,1.0
University of Cincinnati-Main Campus,Cincinnati,OH,11.0,2.0,2.0
Cincinnati State Technical and Community College,Cincinnati,OH,11.0,2.0,0.0
Clark State Community College,Springfield,OH,13.0,2.0,0.0
Cleveland State University,Cleveland,OH,11.0,0.0,2.0
Columbus State Community College,Columbus,OH,11.0,2.0,0.0
Cuyahoga Community College District,Cleveland,OH,11.0,1.0,0.0
Davis College,Toledo,OH,11.0,1.0,0.0
University of Dayton,Dayton,OH,12.0,0.0,1.0
Bryant & Stratton College-Cleveland,Cleveland,OH,11.0,1.0,1.0
Franklin University,Columbus,OH,11.0,2.0,2.0
Eastern Gateway Community College,Steubenville,OH,13.0,2.0,0.0
Lorain County Community College,Elyria,OH,13.0,2.0,0.0
Malone University,Canton,OH,13.0,0.0,2.0
University of Northwestern Ohio,Lima,OH,13.0,2.0,2.0
Ohio Dominican University,Columbus,OH,11.0,1.0,1.0
Ohio State University-Main Campus,Columbus,OH,11.0,0.0,2.0
Sinclair Community College,Dayton,OH,12.0,2.0,0.0
Brown Mackie College-Akron,Akron,OH,12.0,1.0,1.0
Lincoln College of Technology-Dayton,Dayton,OH,12.0,1.0,0.0
Franciscan University of Steubenville,Steubenville,OH,13.0,1.0,1.0
University of Toledo,Toledo,OH,11.0,2.0,2.0
Wittenberg University,Springfield,OH,13.0,0.0,1.0
Xavier University,Cincinnati,OH,11.0,1.0,1.0
ITT Technical Institute-Youngstown,Youngstown,OH,13.0,1.0,1.0
Youngstown State University,Youngstown,OH,13.0,1.0,2.0
Cameron University,Lawton,OK,13.0,2.0,2.0
Oklahoma Christian University,Edmond,OK,11.0,0.0,1.0
Oklahoma State University-Oklahoma City,OklahomaCity,OK,11.0,2.0,1.0
Oklahoma City Community College,OklahomaCity,OK,11.0,2.0,0.0
Oklahoma City University,OklahomaCity,OK,11.0,0.0,1.0
Oral Roberts University,Tulsa,OK,11.0,0.0,2.0
Tulsa Community College,Tulsa,OK,11.0,2.0,0.0
University of Tulsa,Tulsa,OK,11.0,0.0,1.0
The Art Institute of Portland,Portland,OR,11.0,1.0,1.0
Central Oregon Community College,Bend,OR,13.0,1.0,0.0
ITT Technical Institute-Portland,Portland,OR,11.0,1.0,1.0
Lewis & Clark College,Portland,OR,11.0,0.0,1.0
Linn-Benton Community College,Albany,OR,13.0,2.0,0.0
Northwest Christian University,Eugene,OR,12.0,1.0,2.0
Oregon State University,Corvallis,OR,13.0,0.0,2.0
University of Oregon,Eugene,OR,12.0,0.0,1.0
Portland Community College,Portland,OR,11.0,2.0,0.0
Portland State University,Portland,OR,11.0,0.0,2.0
University of Portland,Portland,OR,11.0,0.0,1.0
Everest College-Portland,Portland,OR,11.0,2.0,0.0
Willamette University,Salem,OR,12.0,0.0,1.0
Albright College,Reading,PA,13.0,0.0,1.0
Community College of Allegheny County,Pittsburgh,PA,11.0,1.0,0.0
Alvernia University,Reading,PA,13.0,1.0,1.0
The Art Institute of Philadelphia,Philadelphia,PA,11.0,1.0,1.0
The Art Institute of Pittsburgh,Pittsburgh,PA,11.0,1.0,1.0
Bloomsburg University of Pennsylvania,Bloomsburg,PA,13.0,0.0,1.0
Bradford School,Pittsburgh,PA,11.0,1.0,0.0
Carnegie Mellon University,Pittsburgh,PA,11.0,0.0,1.0
Chestnut Hill College,Philadelphia,PA,11.0,1.0,1.0
Kaplan Career Institute-Franklin Mills,Philadelphia,PA,11.0,1.0,0.0
Consolidated School of Business-York,York,PA,13.0,1.0,0.0
Dickinson College,Carlisle,PA,13.0,0.0,1.0
Drexel University,Philadelphia,PA,11.0,1.0,2.0
Duquesne University,Pittsburgh,PA,11.0,0.0,2.0
East Stroudsburg University of Pennsylvania,EastStroudsburg,PA,13.0,0.0,1.0
Erie Business Center-Erie,Erie,PA,12.0,2.0,0.0
Franklin and Marshall College,Lancaster,PA,13.0,0.0,1.0
Gannon University,Erie,PA,12.0,1.0,2.0
Harrisburg Area Community College-Harrisburg,Harrisburg,PA,13.0,2.0,0.0
Kaplan Career Institute-Pittsburgh,Pittsburgh,PA,11.0,1.0,0.0
Johnson College,Scranton,PA,13.0,1.0,0.0
King's College,Wilkes-Barre,PA,13.0,1.0,1.0
La Salle University,Philadelphia,PA,11.0,1.0,2.0
Lackawanna College,Scranton,PA,13.0,1.0,0.0
Lehigh University,Bethlehem,PA,13.0,0.0,1.0
Lycoming College,Williamsport,PA,13.0,0.0,1.0
Marywood University,Scranton,PA,13.0,0.0,1.0
Mercyhurst University,Erie,PA,12.0,0.0,1.0
Moravian College,Bethlehem,PA,13.0,0.0,1.0
Muhlenberg College,Allentown,PA,12.0,1.0,1.0
Kaplan Career Institute-Philadelphia,Philadelphia,PA,11.0,1.0,0.0
Pennsylvania State University-Penn State Altoona,Altoona,PA,13.0,2.0,2.0
Pennsylvania State University-Main Campus,UniversityPark,PA,13.0,2.0,2.0
Pace Institute,Reading,PA,13.0,1.0,0.0
Peirce College,Philadelphia,PA,11.0,2.0,2.0
University of Pennsylvania,Philadelphia,PA,11.0,1.0,1.0
Philadelphia University,Philadelphia,PA,11.0,1.0,2.0
University of the Sciences,Philadelphia,PA,11.0,0.0,1.0
Community College of Philadelphia,Philadelphia,PA,11.0,2.0,0.0
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,11.0,0.0,1.0
Point Park University,Pittsburgh,PA,11.0,2.0,2.0
Reading Area Community College,Reading,PA,13.0,2.0,0.0
Saint Joseph's University,Philadelphia,PA,11.0,2.0,2.0
University of Scranton,Scranton,PA,13.0,1.0,1.0
South Hills School of Business & Technology,StateCollege,PA,13.0,1.0,0.0
Thaddeus Stevens College of Technology,Lancaster,PA,13.0,1.0,0.0
Temple University,Philadelphia,PA,11.0,1.0,2.0
Wilkes University,Wilkes-Barre,PA,13.0,0.0,1.0
Brown University,Providence,RI,12.0,0.0,1.0
Johnson & Wales University-Providence,Providence,RI,12.0,1.0,1.0
Providence College,Providence,RI,12.0,1.0,1.0
Community College of Rhode Island,Warwick,RI,13.0,1.0,0.0
Charleston Southern University,Charleston,SC,13.0,0.0,2.0
Benedict College,Columbia,SC,12.0,0.0,1.0
Bob Jones University,Greenville,SC,13.0,2.0,2.0
College of Charleston,Charleston,SC,12.0,0.0,1.0
Citadel Military College of South Carolina,Charleston,SC,12.0,0.0,1.0
Forrest College,Anderson,SC,13.0,1.0,0.0
Greenville Technical College,Greenville,SC,13.0,1.0,0.0
Horry-Georgetown Technical College,Conway,SC,13.0,2.0,0.0
University of South Carolina-Columbia,Columbia,SC,12.0,1.0,1.0
Coastal Carolina University,Conway,SC,13.0,0.0,2.0
Central Carolina Technical College,Sumter,SC,13.0,1.0,0.0
Trident Technical College,Charleston,SC,13.0,2.0,0.0
Winthrop University,RockHill,SC,13.0,0.0,1.0
Wofford College,Spartanburg,SC,13.0,0.0,1.0
York Technical College,RockHill,SC,13.0,1.0,0.0
Augustana College,SiouxFalls,SD,12.0,0.0,1.0
Kilian Community College,SiouxFalls,SD,12.0,1.0,0.0
National American University-Rapid City,RapidCity,SD,13.0,2.0,2.0
South Dakota School of Mines and Technology,RapidCity,SD,13.0,1.0,1.0
University of Sioux Falls,SiouxFalls,SD,12.0,1.0,2.0
Austin Peay State University,Clarksville,TN,12.0,1.0,2.0
Belmont University,Nashville,TN,11.0,0.0,1.0
Chattanooga State Community College,Chattanooga,TN,12.0,2.0,0.0
Christian Brothers University,Memphis,TN,11.0,0.0,1.0
Cleveland State Community College,Cleveland,TN,13.0,1.0,0.0
Lipscomb University,Nashville,TN,11.0,0.0,1.0
Daymar Institute-Nashville,Nashville,TN,11.0,1.0,1.0
East Tennessee State University,JohnsonCity,TN,13.0,0.0,2.0
Chattanooga College Medical Dental and Technical Careers,Chattanooga,TN,12.0,1.0,0.0
Fisk University,Nashville,TN,11.0,0.0,1.0
Jackson State Community College,Jackson,TN,13.0,1.0,0.0
King University,Bristol,TN,13.0,2.0,2.0
South College,Knoxville,TN,12.0,2.0,2.0
Lane College,Jackson,TN,13.0,0.0,1.0
Le Moyne-Owen College,Memphis,TN,11.0,0.0,1.0
Lee University,Cleveland,TN,13.0,0.0,2.0
University of Memphis,Memphis,TN,11.0,0.0,2.0
Middle Tennessee State University,Murfreesboro,TN,12.0,0.0,2.0
Nashville State Community College,Nashville,TN,11.0,2.0,0.0
Rhodes College,Memphis,TN,11.0,0.0,1.0
Southwest Tennessee Community College,Memphis,TN,11.0,2.0,0.0
The University of Tennessee-Chattanooga,Chattanooga,TN,12.0,0.0,2.0
The University of Tennessee-Knoxville,Knoxville,TN,12.0,0.0,2.0
Fountainhead College of Technology,Knoxville,TN,12.0,2.0,2.0
Tennessee State University,Nashville,TN,11.0,1.0,2.0
Tennessee Temple University,Chattanooga,TN,12.0,2.0,2.0
Trevecca Nazarene University,Nashville,TN,11.0,1.0,1.0
Union University,Jackson,TN,13.0,1.0,1.0
Vanderbilt University,Nashville,TN,11.0,0.0,1.0
Walters State Community College,Morristown,TN,13.0,2.0,0.0
Abilene Christian University,Abilene,TX,12.0,1.0,1.0
Amarillo College,Amarillo,TX,12.0,2.0,0.0
Angelo State University,SanAngelo,TX,13.0,1.0,2.0
The Art Institute of Houston,Houston,TX,11.0,1.0,1.0
Austin College,Sherman,TX,13.0,0.0,1.0
Austin Community College District,Austin,TX,11.0,2.0,0.0
Baylor University,Waco,TX,12.0,0.0,1.0
Central Texas College,Killeen,TX,12.0,2.0,0.0
Concordia University-Texas,Austin,TX,11.0,1.0,2.0
Texas A & M University-Corpus Christi,CorpusChristi,TX,11.0,0.0,2.0
Dallas Baptist University,Dallas,TX,11.0,1.0,2.0
University of Dallas,Irving,TX,12.0,0.0,1.0
El Centro College,Dallas,TX,11.0,1.0,0.0
El Paso Community College,ElPaso,TX,11.0,2.0,0.0
Western Technical College,ElPaso,TX,11.0,1.0,0.0
South University-The Art Institute of Dallas,Dallas,TX,11.0,1.0,1.0
Hallmark College,SanAntonio,TX,11.0,1.0,1.0
Hardin-Simmons University,Abilene,TX,12.0,0.0,1.0
Houston Community College,Houston,TX,11.0,2.0,0.0
University of Houston-Downtown,Houston,TX,11.0,0.0,2.0
University of Houston-Victoria,Victoria,TX,13.0,0.0,2.0
University of Houston,Houston,TX,11.0,0.0,1.0
Huston-Tillotson University,Austin,TX,11.0,0.0,1.0
University of the Incarnate Word,SanAntonio,TX,11.0,2.0,2.0
International Business College-El Paso,ElPaso,TX,11.0,1.0,0.0
ITT Technical Institute-Arlington,Arlington,TX,11.0,1.0,1.0
ITT Technical Institute-Houston West,Houston,TX,11.0,1.0,1.0
Lamar University,Beaumont,TX,12.0,1.0,2.0
Lamar State College-Port Arthur,PortArthur,TX,13.0,2.0,0.0
Laredo Community College,Laredo,TX,12.0,1.0,0.0
Lee College,Baytown,TX,13.0,1.0,0.0
LeTourneau University,Longview,TX,13.0,2.0,2.0
Lubbock Christian University,Lubbock,TX,12.0,1.0,2.0
McLennan Community College,Waco,TX,12.0,1.0,0.0
McMurry University,Abilene,TX,12.0,0.0,1.0
Midland College,Midland,TX,12.0,2.0,1.0
Midwestern State University,WichitaFalls,TX,12.0,1.0,2.0
Mountain View College,Dallas,TX,11.0,1.0,0.0
Lone Star College System,TheWoodlands,TX,13.0,2.0,0.0
North Lake College,Irving,TX,12.0,1.0,0.0
University of North Texas,Denton,TX,12.0,0.0,2.0
Odessa College,Odessa,TX,12.0,2.0,0.0
Our Lady of the Lake University,SanAntonio,TX,11.0,0.0,2.0
The University of Texas-Pan American,Edinburg,TX,13.0,0.0,1.0
The University of Texas at Brownsville,Brownsville,TX,12.0,1.0,2.0
Paul Quinn College,Dallas,TX,11.0,0.0,2.0
Rice University,Houston,TX,11.0,0.0,1.0
Richland College,Dallas,TX,11.0,1.0,0.0
Kaplan College-McAllen,McAllen,TX,12.0,1.0,0.0
Saint Edward's University,Austin,TX,11.0,0.0,1.0
St Philip's College,SanAntonio,TX,11.0,2.0,0.0
San Antonio College,SanAntonio,TX,11.0,2.0,0.0
St Mary's University,SanAntonio,TX,11.0,0.0,1.0
Tarrant County College District,FortWorth,TX,11.0,1.0,0.0
Temple College,Temple,TX,13.0,2.0,0.0
Texas State Technical College-Waco,Waco,TX,12.0,2.0,0.0
Texarkana College,Texarkana,TX,13.0,1.0,0.0
Texas A & M University-College Station,CollegeStation,TX,13.0,0.0,2.0
The University of Texas at Arlington,Arlington,TX,11.0,0.0,2.0
The University of Texas at Austin,Austin,TX,11.0,0.0,1.0
The University of Texas at Dallas,Richardson,TX,12.0,0.0,1.0
The University of Texas at El Paso,ElPaso,TX,11.0,0.0,2.0
The University of Texas at Tyler,Tyler,TX,13.0,0.0,2.0
Texas Christian University,FortWorth,TX,11.0,0.0,1.0
Texas College,Tyler,TX,13.0,1.0,1.0
The University of Texas of the Permian Basin,Odessa,TX,12.0,0.0,2.0
The University of Texas at San Antonio,SanAntonio,TX,11.0,0.0,1.0
